,inputs,targets
0,สงครามยุทธหัตถี เกิดขึ้นเมื่อไรและอย่างไร,สงครามยุทธหัตถี เป็นสงครามที่เกิดขึ้นในปี พ.ศ. 2135 ระหว่างกรุงศรีอยุธยากับกรุงหงสาวดี ผลของสงครามครั้งนั้นปรากฏว่าอยุธยาเป็นฝ่ายชนะถึงแม้จะมีกำลังพลน้อยกว่า สงครามครั้งนี้มีความโดดเด่นในการต่อสู้ระหว่างพระนเรศวรกับอุปราชมังกะยอชวา สงครามนี้เป็นการปลดปล่อยสยามจากการครอบครองของพม่าต่อไปเป็นระยะเวลา 175 ปีจนถึง พ.ศ. 2310
1,นิยายไซไฟคืออะไร,นิยายไซไฟ คือ นิยายที่เสนอมุมมองเกี่ยวกับผลกระทบต่อบุคคลหรือสังคม จากวิทยาศาสตร์หรือเทคโนโลยีในจินตนาการ บันเทิงคดีแนววิทยาศาสตร์
2,E = mc^2 กล่าวว่าอะไร,มวลขนาดเล็กจิ๋วสามารถแปลงไปเป็นพลังงานปริมาณมหาศาลได้
3,เมตาเวิร์สคืออะไร,เมตาเวิร์ส (Metaverse) หรือ จักรวาลนฤมิต เป็นการนำเทคโนโลยีโลกเสมือนกับโลกจริงเข้าด้วยกัน
4,สตีเฟน วิลเลียม ฮอว์กิงเป็นใคร,สตีเฟน วิลเลียม ฮอว์กิงเป็นนักฟิสิกส์ทฤษฎี นักจักรวาลวิทยา และนักเขียน ศาสตราจารย์ประจำมหาวิทยาลัยเคมบริดจ์
5,อาณาจักรล้านช้างคืออะไร อยู่ในช่วงปีไหนและปัจจุบันคือที่ไหน,อาณาจักรล้านช้าง คือ อาณาจักรของชนชาติลาวซึ่งตั้งอยู่ในแถบลุ่มแม่น้ำโขง มีอาณาเขตอยู่ในบริเวณประเทศลาวทั้งหมด ตลอดจนพื้นที่บางส่วนทางภาคตะวันออกเฉียงเหนือของไทย สถาปนาโดยพระเจ้าฟ้างุ้มเมื่อ พ.ศ.1896 จนถึง พ.ศ.2321 เมืองหลวงอาณาจักรนี้หลวงพระบางและเวียงจันทน์ในปัจจุบัน
6,บ้านแห่งชาวโซเวียต อยู่ที่ไหน,บ้านแห่งชาวโซเวียต (House of Soviets) อยู่ที่ใจกลางนครคาลีนินกราด แคว้นคาลินินกราด รัสเซีย
7,สี่แผ่นดินมีเรื่องราวแบบสรุป ๆ อย่างไร,"เนื้อหาพรรณนาถึงครอบครัวหนึ่งที่อาศัยอยู่ในรัชสมัยของพระมหากษัตริย์ 4 พระองค์ เริ่มจากสิ้นรัชกาลพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวในปี พ.ศ. 2453 จนถึงการสวรรคตของพระบาทสมเด็จพระเจ้าอยู่หัวอานันทมหิดลในปี พ.ศ.2489 ตัวละครเอก ชื่อ ""พลอย"" เป็นหญิงในตระกูลขุนนางเก่าที่มีชีวิตอยู่แต่ในรั้ววัง ใกล้ชิดกับราชสำนัก ต่อมาออกมานอกวังแต่งงานกับ ""เปรม"" หลังการปฏิวัติสยาม พ.ศ. 2475 ค่านิยมแบบเก่าของพลอยถูกกระทบกระเทือน และเกิดความขัดแย้งทางการเมืองในบรรดาบุตรธิดาสามคน ต่อมารัฐบาลออกกฎหมายปรับเปลี่ยนวิถีชีวิตให้เป็นแบบตะวันตก ในช่วงสงครามบ้านถูกระเบิดต้องย้ายกลับไปอยู่บ้านเกิด พลอยป่วยหนักเมื่อทราบว่าบุตรชายเสียชีวิต จนเสียชีวิตตามไปพร้อมกับรัชกาลที่ 8"
8,สรุปเรื่องราว ความสุขของกะทิ ให้หน่อย,ความสุขของกะทิ เล่าเรื่องราวของน้องกะทิ เด็กหญิงวัย 9 ขวบที่กำลังจะต้องสูญเสียแม่ ซึ่งป่วยเป็นโรคกล้ามเนื้ออ่อนแรง แม่รู้ตัวดีว่าไม่สามารถเลี้ยงดูกะทิได้ จึงฝากกะทิให้ตากับยายเลี้ยง กะทิเติบโตมาด้วยความรักของตาและยาย มีชีวิตอย่างสุขสบายในบ้านหลังน้อยริมคลองอันอบอุ่น
9,soft power คืออะไร,ซอฟต์พาวเวอร์ (soft power) หรือ มานานุภาพ หรือ พลังเย็น ในวิชาการเมือง โดยเฉพาะอย่างยิ่งความสัมพันธ์ระหว่างประเทศ หมายถึง ความสามารถในการดึงดูดและสร้างการมีส่วนร่วม โดยไม่ต้องบังคับหรือให้เงิน ในปัจจุบันใช้ในกรณีของการเปลี่ยนแปลงและสร้างอิทธิพลต่อความคิดของสังคมและประชาชนในประเทศอื่น
16,CRISPR คืออะไร,คริสเปอร์ (CRISPR) เป็นวงศ์ของลำดับดีเอ็นเอในแบคทีเรีย ซึ่งในลำดับมีส่วนของดีเอ็นเอ จากไวรัสที่เคยโจมตีแบคทีเรียนั้น แบคทีเรียใช้ส่วนเหล่านี้ในการตรวจหาและทำลายดีเอ็นเอจากไวรัสที่คล้ายกันในการโจมตีครั้งถัดไป ลำดับเหล่านี้ทำหน้าที่สำคัญในระบบภูมิคุ้มกันของแบคทีเรีย
17,รางวัลหมู่บ้านที่สะอาดที่สุดในโลกใน ค.ศ. 2016 เป็นของที่ไหน,เป็นของหมู่บ้านเปิงลีปูรันในเกาะบาหลี ประเทศอินโดนีเซีย
18,เพลงสรรเสริญธงชาติบราซิลมีการบรรเลงครั้งแรกเมื่อใด,มีการบรรเลงอย่างเป็นทางการครั้งแรกเมื่อวันที่ 9 พฤศจิกายน ค.ศ. 1906
19,ถ้ำเจ้ารามอยู่ที่ไหน,อยู่ที่เขตรักษาพันธุ์สัตว์ป่าถ้ำเจ้าราม จังหวัดสุโขทัย
20,"หนังสือ The Third Chimpanzee, Guns, Germs, and Steel (ปืน เชื้อโรค และเหล็กกล้ากับชะตากรรมของสังคมมนุษย์) เป็นผลงานของใคร",เป็นผลงานของ จาเร็ด ไดมอนด์ (Jared Diamond)
21,อาลฟา กงเด ดำรงตำแหน่งประธานาธิบดีกินีคนที่ 4 ช่วงเวลาใด,อาลฟา กงเด ดำรงตำแหน่งประธานาธิบดีกินีคนที่ 4 ช่วงวันที่ 21 ธันวาคม พ.ศ. 2553 – 5 กันยายน พ.ศ. 2564
22,เอเอ็นโอซีเวิร์ลบีชเกมส์ 2023 (2023 World Beach Games) ถึงถูกยกเลิกการจัดงานเพราะเหตุใด,เพราะคณะกรรมการโอลิมปิกของอินโดนีเซีย (KOI) ถอนตัวจากการเป็นเจ้าภาพจัดการแข่งขัน เอเอ็นโอซีเวิร์ลบีชเกมส์ 2023 เนื่องจากไม่ได้รับเงินทุนสนับสนุนจากรัฐบาลอินโดนีเซีย และไม่มีเวลาเพียงพอที่จะส่งต่อการเป็นเจ้าภาพให้แก่ชาติอื่น
23,องค์การนานารัฐอเมริกาจัดตั้งขึ้นด้วยวัตถุประสงค์ใเ,"องค์การนานารัฐอเมริกา (Organization of American States, OAS) ถูกจัดตั้งขึ้นมีวัตถุประสงค์เพื่อให้ความร่วมมือทางการเมือง เศรษฐกิจและการศาล สังคม วัฒนธรรม และสันติภาพ รวมถึงให้ความช่วยเหลือทางด้านทหารในกรณีที่รัฐสมาชิกใดถูกรุกราน"
24,ปี่นอกมีความยาวกับความกว้างเท่าใด,มีความยาวประมาณ 31 เซนติเมตร มึความกว้างประมาณ 3.5 เซนติเมตร
25,ภาษากิมมุนถูกใช้งานในประเทศใดบ้าง,ประเทศจีน ประเทศลาว และประเทศเวียดนาม
26,ริงคาคิง เป็นสมาคมมวยปล้ำอาชีพที่ไหน,ริงคาคิง เป็นสมาคมมวยปล้ำอาชีพที่อินเดีย
28,คณะกรรมการสุขาภิบาลมีใครบ้าง,กำนัน หัวหน้าประจำหมู่บ้าน และพ่อค้าในท้องที่
29,วัดทุ่งสีหลงมีความเป็นมาอย่างไร,วัดทุ่งสีหลง เดิมชื่อว่า วัดทุ่งตาสีหลง แต่เดิมบริเวณนี้เป็นทุ่งนากับป่าไม้ มีชายแก่คนหนึ่งชื่อตาสี ได้มาต่อนกในทุ่งจนพลบค่ำ แต่หลงทางกลับบ้านไม่ได้ ทุ่งนี้จึงได้ชื่อว่า ทุ่งตาสีหลง ต่อมาพูดสั้นลงเหลือ ทุ่งสีหลง ต่อมาได้นำชื่อนี้มาตั้งชื่อวัด
30,ทำไมเราจึงควรอ่านหนังสือ,การอ่านหนังสือเป็นการเพิ่มพูนความรู้ ความบันเทิงผ่านตัวอักษร ให้คุณสามารถปลดปล่อยจินตนาการไปกับตัวอักษร ดังนั้นเราควรอ่านหนังสือ
31,ทำไมภาษาไทยกับภาษาลาวมีภาษาที่ใกล้เคียงกัน,สาเหตุที่ภาษาไทยกับภาษาลาวมีความใกล้เคียงกันมาจากที่ทั้งสองภาษาอยู่ในกลุ่มภาษาเดียวกัน คือ กลุ่มภาษาไท จึงทำให้ภาษาทั้งสองมีความใกล้เคียงกัน นอกจากนี้ตามประวัติศาสตร์ประเทศไทยกับประเทศลาวมีความเกี่ยวข้องกันในทางประวัติศาสตร์จึงทำให้ภาษามีความใกล้เคียงกันอีกด้วย
32,ทำไมเราถึงควรเรียนรู้ภาษาอังกฤษ,เพราะภาษาอังกฤษเป็นที่นิยมใช้งานกันทั่วโลก และเป็นหนึ่งในภาษาสากล ดังนั้นหากต้องติดต่อกับชาวต่างชาติควรมีความรู้ภาษาอังกฤษเพื่อใช้ในการสื่อสาร
33,ภาวะโลกร้อนส่งผลกระทบอย่างไรกับชาวนา,ภาวะโลกร้อนส่งผลกระทบกับชาวนา ทำให้ฝนตกไม่ตรงตามฤดูกาล เกิดภับแล้งหรือน้ำท่วม ทำให้ผลผลิตนาข้าวได้รับความเสียหาย ได้ผลผลิตน้อยลงอันเนื่องมาจากภาวะโลกร้อน
34,จินตนาการ คืออะไร?,จินตนาการ คือ ความสามารถในการสร้างภาพในสมอง
35,ทำไมเราควรตรวจสุขภาพอย่างน้อยปีละครั้ง,การตรวจสุขภาพเป็นการทดสอบหรือประเมินสุขภาพร่างกายของคุณ ซึ่งเป็นผลดีต่อคุณเอง การตรวจสุขภาพช่วยให้คุณสามารถดูแลรักษาสุขภาพร่างกายของคุณได้อย่างตรงจุด หรือหากตรวจเจอโรคต่าง ๆ จะสามารถรักษาได้ทันเวลา ดังนั้นคุณจึงควรตรวจสุขภาพอย่างน้อยปีละครั้ง
