,name,text
,ลาบห่าน,อย่าเพิ่งกินหนู!
0,กุ้งทาพริกไทยกระเทียม,"# กุ้งทาพริกไทยกระเทียม
## เครื่องปรุง



- กุ้งนาง 4 ตัว

- พริกไทย 5 เม็ด

- กระเทียมกลีบใหญ่ 2 กลีบ

- รากผักชี 5 ราก

- น้ำปลา 2 ช้อนโต๊ะ

- น้ำมันหมู 1 ช้อนโต๊ะ



## วิธีทำ



ล้างกุ้งให้สะอาดปอกแล้วผ่าหลังแต่หางตลอดตัวให้ลึก ใช้มีดเบาะบนหลังกุ้งตามขวาง เพื่อให้เอ็นขาดเวลาทอดจะได้ไม่งอ โขลกพริกไทย กระเทียม รากผักชี ให้ละเอียดแล้วเคล้ากุ้งและน้ำปลาให้ทั่ว จึงยกกะทะตั้งไฟ ใส่น้ำมันตั้งให้ร้อนเอากุ้งที่เคล้าไว้ลงทอดพอสุก ตักขึ้นใส่จาน แล้วตักน้ำมันที่ทอดราดหน้ากุ้งด้วย"
1,ข้าวเม่าทอด,"# ข้าวเม่าทอด
## เครื่องปรุง



- กล้วยไข่ผลเล็ก ๆ 1 หวี (1 ผลผ่าเป็น 4 ชีก)

- คยาศารท 1/2 กิโลกรัม

- ไข่เป็ด 1-2 ฟอง

- แป้งข้าวจ้าวแห้ง 3/4 ถ้วยชา

- น้ำปูนใส 1/2 ช้อนโต๊ะ

- เกลือ 1 ช้อนชา

- น้ำกะทิ 2-1 ถ้วยชา (อย่าใส่ทีเดียวหมด)



## วิธีทำ



โขลก คยาศารท ด้วยครกให้ ละเอียดอ่อน จนปั้นหุ้มกล้วยได้ต้องโขลกทีละน้อย แล้วตักขึ้นแผ่คยาศารทเป็นแผ่นบาง ๆ หุ้มกล้วยไข่จนหมด วางไว้ นวดแป้งกับกะทิ ไข่ เกลือ และน้ำปูนใส เหลือกะทิไว้บ้าง ลองโรยดูในกะทะที่น้ำมันเดือด ถ้าขึ้นฟูดีใช้ได้ นำกล้วยที่ปั้นไว้ลงชุบใส่ทอดลงแล้วโรยฝอยคอยเขี่ยดูให้ฝอยอยู่ข้างบน ทอดเป็นคู่เล็ก ๆ ฝอยฟูต้องโรยให้เกาะกันด้วย ตักน้ำมันราด พอเหลืองตักขึ้น"
2,เปรี้ยวหวานไข่ม้วน,"# เปรี้ยวหวานไข่ม้วน
## เครื่องปรุง



- ไข่เป็ด 2 ฟอง

- เนื้อโค 2 ขีด

- มะนาว 1 ผล

- เกลือป่น 1 ช้อนชา

- กะเทียม 5 กลีบ (ขนาดกลาง)

- ผักชี 2 ต้น

- แตงกวา 3 ผล

- มะเขือเทศ 4 ผล

- หอมใหญ่ 1 หัว

- ต้นหอม 5 ต้น

- น้ำมันหมู 2 ช้อนโต๊ะ

- น้ำส้มช้อนโต๊ะ 2 ช้อน

- น้ำเคนดี 1 1/2 ช้อนโต๊ะ

- น้ำตาล 2 ช้อนโต๊ะ

- พริกไทยป่นพอควร

- พริกแดง 2 เม็ด

- กะเทียม 3 กลีบ



## วิธีทำ



เนื้อโคหั่นบาง ๆ และสับให้ละเอียด ใส่เกลือป่น กะเทียม 5 กลีบ โขลกละเอียด บีบมะนาวหมดทั้งผล เคล้าให้เข้ากันแล้วเด็ดผักชีทั้ง 2 ต้น แบ่งไว้สำหรับโรยหน้าพอควร นอกนั้นหั่นละเอียด เคล้าไปกับเนื้อสับ พร้อมกับไข่แดง 1 ฟอง พักไว้ ต่อยไข่อีก 1 ฟอง คนให้เข้ากับไข่ขาว ตั้งกะทะทาน้ำมันหมูให้ทั่ว แล้วกรอกไข่นั้นให้ได้ 2 แผ่น จึงแบ่งเนื้อที่สับเป็น 2 ส่วน ทาแผ่นไข่แผ่นละส่วนและซ้อนกันพับริม 2 ข้างก่อน จึงม้วนเป็นแท่งให้แน่นแล้วนึ่งพอสุกแล้วพักไว้ให้เย็น ล้างและหั่นแตงกวา มะเขือเทศ หอมหัวใหญ่ ต้นหอม พริกแดงแคะเม็ดออกล้างหั่นเป็นฝอยตามยาวของเม็ดแช่น้ำไว้ ผสมน้ำส้ม น้ำปลา น้ำตาล ให้เข้ากัน หั่นไข่ม้วนเฉียงเล็กน้อยพองาม ทุบกระเทียมสับให้ละเอียด ตักน้ำมันใส่กะทะตั้งไฟ (ต้องไฟแรง) พอน้ำมันร้อนจัด จึงใส่กะเทียมคนพอหอม ใส่ผักและไข่ที่หั่นไว้ เห็นผักร้อนระอุดีแล้ว จึงราดน้ำปรุงไปรอบ ๆ กะทะแล้วคนให้เข้ากันยกลงตักใส่ภาชนะ โรยพริกไทย ผักชี พริกแดง"
3,ไข่จ่อม,"# ไข่จ่อม
## เครื่องปรุง



- ไข่จืดต้มแข็ง 2 ฟอง

- ข้าวคั่ว 1 ช้อนโต๊ะ

- ข่าป่น 1/2 ช้อนชา

- น้ำเกลือต้ม (ส่วนเกลือ 4 ช้อนโต๊ะ น้ำ 12 ช้อนโต๊ะ)

- น้ำครั่งตามควร

- หัวหอมซอย 1 ช้อนโต๊ะพูน

- ขิงหั่นฝอย 1 ช้อนโต๊ะ

- พริกสด ผักชี มะนาว น้ำตาลพอควร



## วิธีทำ



ปอกไข่ใส่ขวด ใส่น้ำเกลือที่ต้มไว้ให้ท่วมไข่ แล้วใส่ข่า ข้าวคั่ว น้ำครั่ง คนให้เข้ากันพอลีแดง ๆ เก็บไว้ 3 วันถึง 7 วัน ใช้ได้ เมื่อจะรับประทาน จึงตักไข่ใส่ภาชนะ หั่นไข่เป็นแว่นบาง ๆ โรยหอมซอย ขิงหั่นฝอยตักน้ำที่ดองไข่นั้นใส่ด้วย บีบมะนาว ใส่น้ำตาล ชิมตามชอบ (แต่อย่าคนให้มากนักจะไม่น่ารับประทาน) หั่นพริกสด ผักชีโรย รับประทานกับปลาย่าง ผักดิบตามชอบ"
4,งบปลาทู,"# งบปลาทู
## เครื่องปรุง



- ปลาทู 3 ตัว

- มะพร้าวขูด 1/2 ถ้วยชา

- หัวกะทิ

- พริกแห้ง

- หอม

- กระเทียม

- ข่า

- ตะไคร้

- ผิวมะกรูด

- รากผักชี

- ใบมะกรูด

- ใบผักชี

- ใบโหระพา

- น้ำปลา

- น้ำตาล

- ใบตองสำหรับห่อ



## วิธีทำ



ทำปลาทูสะอาดแล้วแล่เอาแต่เนื้อ 6 ซีก เก็บก้างออกให้หมด ผึ่งไว้ แกะพริกล้างเม็ดออก โขลกรวมกับตะไคร้ หอม กระเทียม ผิวมะกรูด รากผักชี ละเอียดดีแล้วใส่มะพร้าวขูดลงโขลกให้ละเอียดเข้ากันดีแล้ว ปรุงรสด้วยน้ำปลา น้ำตาลนิดหน่อย เตรียมใบตองสำหรับห่อซ้อนกันสัก 3 ชั้นเป็นรูปสี่เหลี่ยม เอาใยโหระพาเด็ดล้างสะอาดวางรองก้นห่อ หยิบชิ้นปลาที่ผึ่งไว้คลุกกับน้ำพริกที่ปรุงรสแล้ว วางเรียงบนใบโหระพา ตักน้ำพริกลาดลงบนชิ้นปลา เกลี่ยให้หน้าเรียบแล้วหยอดหัวกะทิพองาม แต่งหน้าด้วยใบมะกรูดหั่นฝอยผักชี พริกแดงหั่นฝอย ห่อเป็นรูปสี่เหลี่ยมจตุรัส ใช้ไม้กลัด ๆ ไว้แล้วปิ้งให้สุก"
5,น้ำพริกจิ้มผักดิบ,"# น้ำพริกจิ้มผักดิบ
## เครื่องปรุง



- กะปิดำอย่างดี 1 ช้อนชาพูน

- กระเทียมหัวเล็ก (กระเทียมไทย) 4 หัว

- กุ้งแห้งป่น 1 ช้อนโต๊ะ

- มะอึกสุก 2 ผล

- ผิวส้มเหม็นหั่นละเอียด 1 ช้อนชาพูน

- พริกสามสี (พริกสวนนอก 6 เม็ด พริกขี้หนูเด็ดก้านแล้ว 1 ช้อนชา น้ำปลา น้ำตาลปึก)

- มะนาว



## วิธีทำ



ใส่กุ้งแห้ง กะปิและเกลือ โขลกให้ละเอียด แล้วปอกกระเทียมใส่โขลกรวมกันไป เมื่อละเอียดแล้ว ขูดมะอึกผ่าออกเป็น 4 ซีก หั่นละเอียด ผิวส้มเหม็น พริกสามสีใส่ครกบุบพอพริกแตก ใส่น้ำปลา น้ำตาล บีบมะนาว คนให้เข้ากัน ชิมรสตามชอบตักใส่ถ้วยแล้วโรยพริกขี้หนู



**หมายเหตุ** น้ำพริกอย่างนี้ใช้คลุกข้าวก็ได้ จิ้มผักดิบก็ได้ เวลาปรุงถ้าใช้มะดันมะม่วงก็ไม่ต้องใช้มะนาว ผิวส้มเหม็นและมะอึก"
6,ลอยน้ำดอกไม้สด,"# ลอยน้ำดอกไม้สด
ล้างภาชนะที่จะใช้ลอย จะเบนขวดหรือโถก็ได้ให้สะอาด ลนดอกกะดังงาด้วยเทียนอบ เมื่อลนเสร็จแลว ดับเทียนใส่ใน/กชนะที่จะลอยนั้น เด็คก้านมะลิ ฉีกดอกกะดังงาโดยบีบกะเปาะให้กลีบร่วงเอง (ห้ามเด็ด) กลีบหนึ่งฉีกสัก 2-3 เส้น เสร็จ แล้วเปิดฝา เทน้ำลงในภาชนะ โดยไม่ต้องเป็นห่วงว่าควันจะหมดหรือไม่ โรยกลีบดอกกะดังงา ลอยมะลิให้ทางก้านลงในน้ำ แล้วบิดฝาโถไว้



**ข้อควรทราบในการลอยนํ้าดอกไม้สด**



1. ดอกมะลิ ต้องใช้ที่เก็บจากต้นในคอนเย็น ถ้าเป็นดอกมะลิซื้อ ก็ควรซื้อแต่ตอนเช้ามาเก็บไว้ ถ้าซื้อตอนเย็น จะได้มะลิที่สำลักน้ำ เมื่อบานแล้วจะไม่หอม เพราะดอกมะลิ ถ้าถูกพรมน้ำมากเกินไป หรือ บานเสียก่อน แล้วน้ำมันในดอกไม้จะระเหยไปหมด เมื่อใช้ลอยน้ำก็จะไม่หอม ดอกกะดังงาควรเลือกเหลือง ๆ เพราะลีเขียวกลิ่นอ่อน

2. ดอกไม้ที่ใช้ลอย ไม่ควรลอยให้แน่นภาชนะ ต้องเหลือที่ว่าง สำหรับให้น้ำเก็บกลิ่นหอมได้

3. น้ำที่ใช้ลอย ถ้าใช้ประกอบอาหารที่จะไม่ต้องหุงต้มอีก ก็ใช้น้ำต้มที่ทิ้งไว้จนเย็น ถ้าใช้สำหรับใช้ประกอบอาหารที่จะหุงต้มอีก ก็ไม่ต้องใช้น้ำต้ม

4. เวลาลอยดอกไม้ควรลอยแต่เวลา 18.30 น. ถึงเวลา 19.00 น. เวลาเก็บดอกไม้ขึ้น ควรเป็นเวลา 6.00 น. ถึง 7.00 น. ของวันรุ่งขึ้น"
7,ยำไข่ปลาดุก,"# ยำไข่ปลาดุก
## เครื่องปรุง



- ไข่ปลาดุกนึ่ง 6 ฝัก

- มะม่วงดิบหั่นฝอย 2 ช้อนโต๊ะพูน

- หัวหอมซอย 2 ซ้อนโต๊ะ

- น้ำเคยดี (ถ้าไม่มีมะม่วงดิบก็ใช้เนื้อแตงกวาหรือแตงร้านหั่นฝอย และบีบมะนาว หรือจะใช้มะดันหรือ มะปรางดิบแทนมะม่วงดิบก็ได้)

- ไพริกขี้หนู



## วิธีทำ



เอาไข่ปลาดุกที่นึ่งแล้วใส่จาน ปอกมะม่วงดิบและผ่านบาง ๆ หั่นเป็นฝอย ซอยหัวหอม ใส่รวมกับไข่ปลาดุก เมื่อจะรับประทานจึงใส่น้ำเคยดีตามต้องการ คลุกให้เข้ากันแล้วหั่นพริกขี้หนูโรยหน้า"
