,inputs,targets
0,สงครามยุทธหัตถี เกิดขึ้นเมื่อไรและอย่างไร,สงครามยุทธหัตถี เป็นสงครามที่เกิดขึ้นในปี พ.ศ. 2135 ระหว่างกรุงศรีอยุธยากับกรุงหงสาวดี ผลของสงครามครั้งนั้นปรากฏว่าอยุธยาเป็นฝ่ายชนะถึงแม้จะมีกำลังพลน้อยกว่า สงครามครั้งนี้มีความโดดเด่นในการต่อสู้ระหว่างพระนเรศวรกับอุปราชมังกะยอชวา สงครามนี้เป็นการปลดปล่อยสยามจากการครอบครองของพม่าต่อไปเป็นระยะเวลา 175 ปีจนถึง พ.ศ. 2310
1,นิยายไซไฟคืออะไร,นิยายไซไฟ คือ นิยายที่เสนอมุมมองเกี่ยวกับผลกระทบต่อบุคคลหรือสังคม จากวิทยาศาสตร์หรือเทคโนโลยีในจินตนาการ บันเทิงคดีแนววิทยาศาสตร์
3,เมตาเวิร์สคืออะไร,เมตาเวิร์ส Metaverse  หรือ จักรวาลนฤมิต เป็นการนำเทคโนโลยีโลกเสมือนกับโลกจริงเข้าด้วยกัน
4,สตีเฟน วิลเลียม ฮอว์กิงเป็นใคร,สตีเฟน วิลเลียม ฮอว์กิงเป็นนักฟิสิกส์ทฤษฎี นักจักรวาลวิทยา และนักเขียน ศาสตราจารย์ประจำมหาวิทยาลัยเคมบริดจ์
5,อาณาจักรล้านช้างคืออะไร อยู่ในช่วงปีไหนและปัจจุบันคือที่ไหน,อาณาจักรล้านช้าง คือ อาณาจักรของชนชาติลาวซึ่งตั้งอยู่ในแถบลุ่มแม่น้ำโขง มีอาณาเขตอยู่ในบริเวณประเทศลาวทั้งหมด ตลอดจนพื้นที่บางส่วนทางภาคตะวันออกเฉียงเหนือของไทย สถาปนาโดยพระเจ้าฟ้างุ้มเมื่อ พ.ศ.1896 จนถึง พ.ศ.2321 เมืองหลวงอาณาจักรนี้หลวงพระบางและเวียงจันทน์ในปัจจุบัน
6,บ้านแห่งชาวโซเวียต อยู่ที่ไหน,บ้านแห่งชาวโซเวียต House of Soviets  อยู่ที่ใจกลางนครคาลีนินกราด แคว้นคาลินินกราด รัสเซีย
7,สี่แผ่นดินมีเรื่องราวแบบสรุป ๆ อย่างไร,"เนื้อหาพรรณนาถึงครอบครัวหนึ่งที่อาศัยอยู่ในรัชสมัยของพระมหากษัตริย์ 4 พระองค์ เริ่มจากสิ้นรัชกาลพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวในปี พ.ศ. 2453 จนถึงการสวรรคตของพระบาทสมเด็จพระเจ้าอยู่หัวอานันทมหิดลในปี พ.ศ.2489 ตัวละครเอก ชื่อ ""พลอย"" เป็นหญิงในตระกูลขุนนางเก่าที่มีชีวิตอยู่แต่ในรั้ววัง ใกล้ชิดกับราชสำนัก ต่อมาออกมานอกวังแต่งงานกับ ""เปรม"" หลังการปฏิวัติสยาม พ.ศ. 2475 ค่านิยมแบบเก่าของพลอยถูกกระทบกระเทือน และเกิดความขัดแย้งทางการเมืองในบรรดาบุตรธิดาสามคน ต่อมารัฐบาลออกกฎหมายปรับเปลี่ยนวิถีชีวิตให้เป็นแบบตะวันตก ในช่วงสงครามบ้านถูกระเบิดต้องย้ายกลับไปอยู่บ้านเกิด พลอยป่วยหนักเมื่อทราบว่าบุตรชายเสียชีวิต จนเสียชีวิตตามไปพร้อมกับรัชกาลที่ 8"
8,สรุปเรื่องราว ความสุขของกะทิ ให้หน่อย,ความสุขของกะทิ เล่าเรื่องราวของน้องกะทิ เด็กหญิงวัย 9 ขวบที่กำลังจะต้องสูญเสียแม่ ซึ่งป่วยเป็นโรคกล้ามเนื้ออ่อนแรง แม่รู้ตัวดีว่าไม่สามารถเลี้ยงดูกะทิได้ จึงฝากกะทิให้ตากับยายเลี้ยง กะทิเติบโตมาด้วยความรักของตาและยาย มีชีวิตอย่างสุขสบายในบ้านหลังน้อยริมคลองอันอบอุ่น
9,soft power คืออะไร,ซอฟต์พาวเวอร์ soft power  หรือ มานานุภาพ หรือ พลังเย็น ในวิชาการเมือง โดยเฉพาะอย่างยิ่งความสัมพันธ์ระหว่างประเทศ หมายถึง ความสามารถในการดึงดูดและสร้างการมีส่วนร่วม โดยไม่ต้องบังคับหรือให้เงิน ในปัจจุบันใช้ในกรณีของการเปลี่ยนแปลงและสร้างอิทธิพลต่อความคิดของสังคมและประชาชนในประเทศอื่น
10,อึกก์ดราซิลล์มีตำนานว่าอย่างไร,"อึกก์ดราซิลล์ Yggdrasill  เป็นมหาพฤกษาในตำนานอันเป็นแกนกลางของจักรวาลนอร์สและเชื่อมต่อโลกทั้งเก้า เป็นต้นไม้สีเทาซีดขนาดมหึมาซึ่งเขียวชอุ่มอยู่ตลอด ตั้งอยู่ที่แกนกลางของจักรวาลและมีความศักดิ์สิทธิ์มาก กิ่งก้านของอึกก์ดราซิลล์แผ่ขยายจนไปถึงสวรรค์ อึกก์ดราซิลล์ถูกค้ำจุนไว้โดยรากแก้วสามแขนงซึ่งแผ่ไปยังสามสถานที่ได้แก่ บ่อน้ำอูร์ดาร์บรุนเนอร์ Urðarbrunnr , ตาน้ำร้อนคเวร์เก็ลมีร์ Hvergelmir  และบ่อน้ำมีมิสบรุนเนอร์ Mímisbrunnr   เบื้องล่างสุดของอึกก์ดราซิลล์มีเหล่ามังกรนีดฮ็อกเกอร์อาศัยอยู่ ด้านบนกิ่งก้านมีเหล่าอินทรีไร้นามอาศัยอยู่"
11,ภาพยนตร์ Avengers: Endgame มีเรื่องราวอย่างไร,"เรื่องราวดำเนินเหตุการณ์หลังจาก อเวนเจอร์ส: มหาสงครามล้างจักรวาล แอนท์แมน และ เดอะ วอสพ์ และ กัปตัน มาร์เวล หลังธานอสเปิดใช้งานถุงมืออินฟินิตีสำเร็จ ครอบครัวของคลินต์ บาร์ตันสลายไปพร้อมกับสิ่งมีชีวิตครึ่งจักรวาล เนบิวลาและโทนี สตาร์กถูกทิ้งไว้ในยานอวกาศพร้อมกับเสบียงที่ใกล้จะหมดลง แต่แครอล แดนเวอร์ส มาพบเข้าและช่วยพากลับสู่โลกมารวมกับทีมอเวนเจอร์สที่ยังเหลือ ได้แก่ นาตาชา โรมานอฟ, บรูซ แบนเนอร์, สตีฟ โรเจอร์ส, ร็อกเก็ต, ธอร์ และเจมส์ โรดส์ สมาชิกในทีมวางแผนขโมยมณีอินฟินิตีคืนจากธานอสเพื่อใช้หินนั้นย้อนการกระทำของเขา และเดินทางไปยังดาวที่อยู่ของธานอสในปัจจุบัน แต่ก็พบว่าธานอสได้ใช้พลังของมณีทำลายตัวเองเพื่อไม่ให้มีใครนำไปใช้ได้อีก ธอร์บันดาลโทสะใช้ขวานบั่นศีรษะของธานอสจนสิ้นชีวิต"
12,กล้องปริทรรศน์ทำงานอย่างไร,กล้องปริทรรศน์ Periscope  ทำงานโดยกล้องมีรูปร่างแท่งสี่เหลี่ยมหรือทรงกระบอก ด้านในประกอบด้วยกระจกเงาสองแผ่นติดอยู่ที่ปลายแต่ละด้านของกล้อง โดยให้ด้านเงาเอียงขนานเข้าหากัน ทำมุม 45 องศากับลำกล้อง และปลายกล้องสองด้านจะเจาะรูด้านข้างให้แสงส่องถึงด้านเงาของกระจก โดยให้ช่องที่ปลายด้านหนึ่งเป็นช่องแสงเข้า ช่องที่ปลายอีกด้านหนึ่งเป็นช่องสำหรับมอง
13,การเล่นแร่แปรธาตุคืออะไร,การเล่นแร่แปรธาตุ alchemy  เป็นแบบแผนประเพณีทางปรัชญาทรงอิทธิพล ซึ่งผู้ปฏิบัติแต่โบราณอ้างว่าเป็นการตั้งต้นอำนาจที่ลึกซึ้ง วัตถุประสงค์ซึ่งนิยามการเล่นแร่แปรธาตุนั้นมีมากมาย แต่มักได้แก่ การสร้างศิลานักปราชญ์ การเปลี่ยนโลหะฐานเป็นโลหะมีสกุล หรือการพัฒนาน้ำอมฤต ซึ่งจะมอบความเยาว์และอายุยืนยาว
14,จตุรมิตรคืออะไร,"จตุรมิตร คือ การแข่งขันฟุตบอลประเพณีระดับมัธยมศึกษาระหว่างโรงเรียนชายล้วนเก่าแก่สี่โรงเรียน ประกอบด้วยโรงเรียนสวนกุหลาบวิทยาลัย, โรงเรียนเทพศิรินทร์, โรงเรียนอัสสัมชัญ และโรงเรียนกรุงเทพคริสเตียนวิทยาลัย จัดขึ้นเป็นประจำทุก 2 ปี ณ สนามศุภชลาศัย กรีฑาสถานแห่งชาติ"
15,นาเกลือ คืออะไร,นาเกลือ คือพื้นที่สำหรับผลิตเกลือ มีมากในบริเวณพื้นที่ติดทะเล
16,CRISPR คืออะไร,คริสเปอร์ CRISPR  เป็นวงศ์ของลำดับดีเอ็นเอในแบคทีเรีย ซึ่งในลำดับมีส่วนของดีเอ็นเอ จากไวรัสที่เคยโจมตีแบคทีเรียนั้น แบคทีเรียใช้ส่วนเหล่านี้ในการตรวจหาและทำลายดีเอ็นเอจากไวรัสที่คล้ายกันในการโจมตีครั้งถัดไป ลำดับเหล่านี้ทำหน้าที่สำคัญในระบบภูมิคุ้มกันของแบคทีเรีย
17,รางวัลหมู่บ้านที่สะอาดที่สุดในโลกใน ค.ศ. 2016 เป็นของที่ไหน,เป็นของหมู่บ้านเปิงลีปูรันในเกาะบาหลี ประเทศอินโดนีเซีย
18,เพลงสรรเสริญธงชาติบราซิลมีการบรรเลงครั้งแรกเมื่อใด,มีการบรรเลงอย่างเป็นทางการครั้งแรกเมื่อวันที่ 9 พฤศจิกายน ค.ศ. 1906
19,ถ้ำเจ้ารามอยู่ที่ไหน,อยู่ที่เขตรักษาพันธุ์สัตว์ป่าถ้ำเจ้าราม จังหวัดสุโขทัย
20,"หนังสือ The Third Chimpanzee, Guns, Germs, and Steel ปืน เชื้อโรค และเหล็กกล้ากับชะตากรรมของสังคมมนุษย์  เป็นผลงานของใคร",เป็นผลงานของ จาเร็ด ไดมอนด์ Jared Diamond 
21,อาลฟา กงเด ดำรงตำแหน่งประธานาธิบดีกินีคนที่ 4 ช่วงเวลาใด,อาลฟา กงเด ดำรงตำแหน่งประธานาธิบดีกินีคนที่ 4 ช่วงวันที่ 21 ธันวาคม พ.ศ. 2553  5 กันยายน พ.ศ. 2564
